"","Interaction_Estimate","SD","lower","upper","Rhat","Significance","BPV.dom","BPV.sub","Chat.dom","Chat.sub","Species_Pair","MCMC_setting"
"24",-0.0319664914815808,0.0530884596190931,-0.139547953510077,0.0675003753027372,1.00005733818998,"Non-Significant",0.375666666666667,0.3667,1.01375964383933,1.00962393786164,"SUB-Panthera_tigris~DOM-Paradoxurus_hermaphroditus","LONG"
"25",0.107379258404116,0.049942718242714,0.00753367566895859,0.202374789592337,1.0011901891135,"Significant",0.3512,0.1999,1.04222571865992,1.01377409039887,"SUB-Neofelis_genus~DOM-Trichys_fasciculata","LONG"
"26",0.20414665139396,0.391485312327986,-0.514237667361163,0.760127710794326,7.03787095657203,"Non-Significant",0.0136,0.232333333333333,1.08860250293623,1.07715263889354,"SUB-Panthera_pardus~DOM-Ursus_thibetanus","LONG"
"27",-0.0873210367810675,0.0812768401536371,-0.252935634119949,0.0685467333429841,1.00002794048776,"Non-Significant",0.206066666666667,0.374066666666667,1.01331609931538,1.0249998579218,"SUB-Panthera_tigris~DOM-Atherurus_macrourus","LONG"
"28",0.00727310274335413,0.0705577798058626,-0.137529700366615,0.138076687931458,1.0004482165021,"Non-Significant",0.203766666666667,0.317466666666667,1.02860544675117,1.02497595545838,"SUB-Cuon_alpinus~DOM-Atherurus_macrourus","LONG"
"29",-0.00796135723881503,0.262700824181291,-0.599587655934063,0.419193716323687,1.00090105234927,"Non-Significant",0.4104,0.1961,1.04223680703691,1.02747251868864,"SUB-Neofelis_genus~DOM-Viverra_megaspila","LONG"
"30",-0.00863125608953316,0.0156619067936999,-0.0406456234292835,0.0208708519838044,1.00006053692546,"Non-Significant",0.251833333333333,0.369,1.01357147101687,1.02012146057074,"SUB-Panthera_tigris~DOM-Lophura_diardi","LONG"
"31",-0.0523997046150747,0.0353904704137362,-0.122764424385501,0.0159845775866907,1.00064996507117,"Non-Significant",0.4655,0.365966666666667,1.01409460086467,1.00106248857136,"SUB-Panthera_tigris~DOM-Muntiacus_genus","LONG"
"32",0.0765684199590282,0.71629928312177,-1.11604125114556,0.742804269269328,13.1510168045891,"Non-Significant",0.136066666666667,0.490933333333333,1.00053590570316,1.11792202542309,"SUB-Tragulus_genus~DOM-Panthera_pardus","LONG"
"33",2.6636033292731,0.468595735178161,1.94270087519684,3.64936266657673,2.50421722152425,"Significant",0.4134,0.2117,1.09721198560905,1.02792140919279,"SUB-Panthera_pardus~DOM-Viverra_megaspila","LONG"
"34",-3.12904149033886,1.24211477423905,-6.08966209788123,-1.30602091407212,1.00043645902584,"Significant",0.413033333333333,0.381666666666667,1.01219270942576,1.02766807000376,"SUB-Panthera_tigris~DOM-Viverra_megaspila","LONG"
"35",0.0871299116285235,0.208312935356335,-0.376528033493158,0.442813420918992,1.00035051858413,"Non-Significant",0.410633333333333,0.309833333333333,1.02951317407361,1.02707790077619,"SUB-Cuon_alpinus~DOM-Viverra_megaspila","LONG"
"36",0.142596447448128,0.0778289175078899,-0.00738074218136243,0.301701335412321,1.00042355204999,"Non-Significant",0.385466666666667,0.184533333333333,1.09488979309935,1.00969491295592,"SUB-Panthera_pardus~DOM-Viverra_zibetha","LONG"
"37",-0.0034666017875508,0.0349289092721794,-0.0743497579356172,0.062245554943686,0.999990193769278,"Non-Significant",0.3801,0.372866666666667,1.01355520509876,1.0100695468609,"SUB-Panthera_tigris~DOM-Viverra_zibetha","LONG"
"38",0.143371166673833,0.0297107928810928,0.0853040676239782,0.201584292529317,1.00005009733594,"Significant",0.397466666666667,0.318766666666667,1.02811698681807,1.00882632554115,"SUB-Cuon_alpinus~DOM-Viverra_zibetha","LONG"
"39",0.142459600959376,0.124678376449085,-0.12191460297653,0.367642233617265,0.999991231101804,"Non-Significant",0.280533333333333,0.1949,1.04246471661766,1.06662697101318,"SUB-Neofelis_genus~DOM-Viverricula_indica","LONG"
"40",0.0647840679083901,0.0605662650792067,-0.0575002589554955,0.180668202415107,0.999980922284322,"Non-Significant",0.271533333333333,0.365666666666667,1.01434074409352,1.06817697193226,"SUB-Panthera_tigris~DOM-Viverricula_indica","LONG"
"41",0.0992630660756833,0.0924679029378469,-0.0897157180268911,0.273418817087184,0.99996625675959,"Non-Significant",0.2764,0.315333333333333,1.02859047530976,1.06730173234259,"SUB-Cuon_alpinus~DOM-Viverricula_indica","LONG"
