"","Species_Pair","dom_species","sub_species","mod_completion","SUB_guild","DOM_guild","guild_pair","Interaction_Estimate","SD","lower","upper","Rhat","Significance","BPV.dom","BPV.sub","Chat.dom","Chat.sub","MCMC_setting","BPV_valid","BPV_valid_conserv","OD_valid","OD_valid_conserv","parameter_valid","direction","preference","support","support_conserv"
"73","SUB-Hystrix_brachyura~DOM-Neofelis_genus","Neofelis_genus","Hystrix_brachyura","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",1.07317212397286,0.0337886706641243,1.00848046366589,1.13809755913001,1.60533231628201,"Significant",0.0478666666666667,0.00456666666666667,1.05171997045238,1.08234324633738,"LONG","No","No","Yes","Yes","No","top-down","preferred","Unsupported_3","Unsupported_3"
"74","SUB-Hystrix_brachyura~DOM-Panthera_pardus","Panthera_pardus","Hystrix_brachyura","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.130291316311048,0.0334866765216964,0.0688422419271596,0.200072274345606,1.00029162462325,"Significant",0.19,0.00213333333333333,1.05029848820198,1.09105941339047,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"75","SUB-Hystrix_brachyura~DOM-Panthera_tigris","Panthera_tigris","Hystrix_brachyura","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.743240640782599,0.0503443366041068,0.647108944706464,0.841991888688373,1.06045355320218,"Significant",0.166433333333333,0.00266666666666667,1.05384933312873,1.03688109471914,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"76","SUB-Hystrix_crassispinis~DOM-Neofelis_genus","Neofelis_genus","Hystrix_crassispinis","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.31736779942812,1.0464367843137,-1.30994076077598,1.26607611284613,16.2431324785319,"Non-Significant",0.183466666666667,0.3756,1.01203392015679,1.04451348108031,"LONG","Yes","No","Yes","Yes","No","top-down","community","Unsupported_3","Unsupported_3"
"77","SUB-Lophura_bulweri~DOM-Neofelis_genus","Neofelis_genus","Lophura_bulweri","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",1.01497920111936,0.215604961943266,0.627282743039215,1.48160492404132,1.01076662051551,"Significant",0.183266666666667,0.282,1.08967485984113,1.04475582404619,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_3"
"78","SUB-Lophura_diardi~DOM-Cuon_alpinus","Cuon_alpinus","Lophura_diardi","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",1.11709592192705,0.0493702185417119,1.02803508251906,1.21188577971191,2.29755267575902,"Significant",0.2452,0.1591,1.03797765408576,1.04088992156519,"LONG","Yes","No","Yes","Yes","No","top-down","community","Unsupported_3","Unsupported_3"
"79","SUB-Lophura_diardi~DOM-Neofelis_genus","Neofelis_genus","Lophura_diardi","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",-0.399159429563641,1.2722931475847,-1.40718205975123,1.45778084817107,43.218863114929,"Non-Significant",0.124433333333333,0.1317,1.04026920142275,1.05884099015846,"LONG","No","No","Yes","Yes","No","top-down","community","Unsupported_3","Unsupported_3"
"80","SUB-Lophura_diardi~DOM-Panthera_tigris","Panthera_tigris","Lophura_diardi","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",-0.282523275590284,1.04398793098318,-1.17096386017215,1.28528282626559,30.302407949777,"Non-Significant",0.350233333333333,0.156866666666667,1.03409511019722,1.01663056913385,"LONG","Yes","No","Yes","Yes","No","top-down","community","Unsupported_3","Unsupported_3"
"81","SUB-Lophura_ignita~DOM-Cuon_alpinus","Cuon_alpinus","Lophura_ignita","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.722457688055135,0.217839314884536,0.348196819879773,1.19669919572583,1.06425832568858,"Significant",0.3153,0.2871,1.03152509747975,1.02854694280169,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_1"
"82","SUB-Lophura_ignita~DOM-Neofelis_genus","Neofelis_genus","Lophura_ignita","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.922478049317431,0.124419147690976,0.564406568814439,1.10074967520677,1.20329186710053,"Significant",0.197466666666667,0.267833333333333,1.03532420431771,1.04308894917077,"LONG","Yes","No","Yes","Yes","No","top-down","community","Unsupported_3","Unsupported_3"
"83","SUB-Lophura_nycthemera~DOM-Cuon_alpinus","Cuon_alpinus","Lophura_nycthemera","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",1.52668478707213,0.225361479692384,1.13916113427597,2.01629807867189,1.02923115273018,"Significant",0.2555,0.270166666666667,1.04562533044935,1.03859935367853,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_1"
"84","SUB-Lophura_nycthemera~DOM-Neofelis_genus","Neofelis_genus","Lophura_nycthemera","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",1.9557375759035,0.336315797747732,1.29056501191729,2.66082392873063,1.81086882247497,"Significant",0.189233333333333,0.240433333333333,1.04823746130222,1.04475414728156,"LONG","Yes","No","Yes","Yes","No","top-down","community","Unsupported_3","Unsupported_3"
"85","SUB-Lophura_nycthemera~DOM-Panthera_tigris","Panthera_tigris","Lophura_nycthemera","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",-0.401243966737504,0.211034172043989,-0.849548366764927,-0.0317663820879899,1.00048150448102,"Significant",0.364533333333333,0.268933333333333,1.04057823068785,1.01398994086302,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Supported","Supported"
"86","SUB-Macaca_arctoides~DOM-Cuon_alpinus","Cuon_alpinus","Macaca_arctoides","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.383521135326892,0.178518006460251,0.0611415017082807,0.747415331775148,1.01361794730956,"Significant",0.316933333333333,0.551066666666667,0.995718138504456,1.02888283632205,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_1"
"87","SUB-Macaca_arctoides~DOM-Neofelis_genus","Neofelis_genus","Macaca_arctoides","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.0860625419710051,0.088716923247334,-0.092742897711825,0.257579915258544,1.0000597263878,"Non-Significant",0.197166666666667,0.532966666666667,0.997593738193371,1.04233796077845,"LONG","Yes","No","Yes","Yes","Yes","top-down","preferred","Unsupported_2","Unsupported_3"
"88","SUB-Macaca_arctoides~DOM-Panthera_pardus","Panthera_pardus","Macaca_arctoides","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.103701983043772,0.0569624947603457,-0.00908757906704721,0.217585574593393,1.00002830258304,"Non-Significant",0.183766666666667,0.530933333333333,0.997670400566215,1.09439740608346,"LONG","Yes","No","Yes","Yes","Yes","top-down","preferred","Unsupported_2","Unsupported_3"
"89","SUB-Macaca_arctoides~DOM-Panthera_tigris","Panthera_tigris","Macaca_arctoides","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.0805622564379596,0.109213494411046,-0.16451175207197,0.286396372697594,1.00044040131265,"Non-Significant",0.368566666666667,0.539366666666667,0.997210921757082,1.01349582581913,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_2"
"90","SUB-Macaca_fascicularis~DOM-Cuon_alpinus","Cuon_alpinus","Macaca_fascicularis","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-1.78564614613874,1.19280468983285,-4.7961368143301,-0.184964744551389,1.00049689972169,"Significant",0.315666666666667,0.4108,1.00703013559652,1.02866295689451,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Supported","Supported"
"91","SUB-Macaca_fascicularis~DOM-Neofelis_genus","Neofelis_genus","Macaca_fascicularis","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-0.112258737981514,0.149276333761277,-0.424217716603695,0.157547660389057,1.00026906211484,"Non-Significant",0.195666666666667,0.391466666666667,1.00809294634497,1.04216841846079,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"92","SUB-Macaca_fascicularis~DOM-Panthera_pardus","Panthera_pardus","Macaca_fascicularis","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-0.272661697033274,0.308285358910158,-0.964324423546178,0.230063960540208,1.00231457785083,"Non-Significant",0.1915,0.3879,1.00841939764386,1.0924991097866,"LONG","Yes","No","Yes","Yes","Yes","top-down","preferred","Unsupported_2","Unsupported_3"
"93","SUB-Macaca_fascicularis~DOM-Panthera_tigris","Panthera_tigris","Macaca_fascicularis","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-0.513331134705421,0.375096090634911,-1.34035197780466,0.128731352109601,1.00066743150909,"Non-Significant",0.3695,0.389266666666667,1.00826973840373,1.01395339064945,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_2"
"94","SUB-Macaca_nemestrina~DOM-Cuon_alpinus","Cuon_alpinus","Macaca_nemestrina","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.412737369485575,0.0579129357563779,0.297815940370729,0.520782314183321,1.0017247977098,"Significant",0.277866666666667,0.3742,1.00390717824875,1.03438953043002,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_1"
"95","SUB-Macaca_nemestrina~DOM-Neofelis_genus","Neofelis_genus","Macaca_nemestrina","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-0.0441734371795513,0.284174109964332,-0.314983129922323,0.414197496146416,12.6300498356782,"Non-Significant",0.139033333333333,0.190266666666667,1.01070253202723,1.05408719280524,"LONG","No","No","Yes","Yes","No","top-down","preferred","Unsupported_3","Unsupported_3"
"96","SUB-Macaca_nemestrina~DOM-Panthera_pardus","Panthera_pardus","Macaca_nemestrina","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-0.504225954673132,0.0776855195554021,-0.658312720031677,-0.354629192863096,1.00096496373229,"Significant",0.168966666666667,0.2326,1.0092436414416,1.10095996124268,"LONG","Yes","No","Yes","No","Yes","top-down","preferred","Supported","Unsupported_3"
"97","SUB-Macaca_nemestrina~DOM-Panthera_tigris","Panthera_tigris","Macaca_nemestrina","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-0.0822276158286042,0.030934038961459,-0.148736066533374,-0.0287822599810427,1.00085477616751,"Significant",0.335766666666667,0.395566666666667,1.00325954352006,1.01723185086409,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Supported","Supported"
"98","SUB-Manis_javanica~DOM-Cuon_alpinus","Cuon_alpinus","Manis_javanica","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",-0.462621513953441,0.338525880330922,-1.2098864352723,0.108625729439365,1.00009916507339,"Non-Significant",0.315333333333333,0.3829,1.02153149285695,1.02918799247656,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_2"
"99","SUB-Manis_javanica~DOM-Neofelis_genus","Neofelis_genus","Manis_javanica","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",-0.242267272829284,0.209842451004959,-0.687085133119387,0.136057322201811,1.0005345033243,"Non-Significant",0.196766666666667,0.3788,1.0217384669369,1.04253371663795,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"100","SUB-Manis_javanica~DOM-Panthera_pardus","Panthera_pardus","Manis_javanica","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",-0.440057347873847,0.506170767777522,-1.65003838727664,0.290486457719955,1.00597885963077,"Non-Significant",0.190966666666667,0.380866666666667,1.02137672477094,1.09185370298797,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"101","SUB-Manis_javanica~DOM-Panthera_tigris","Panthera_tigris","Manis_javanica","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",-0.592689962353573,0.29319963017632,-1.24645253167136,-0.0991691995500475,1.00027537476538,"Significant",0.364766666666667,0.386466666666667,1.02099971200763,1.01414379476755,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Supported","Supported"
"102","SUB-Martes_flavigula~DOM-Cuon_alpinus","Cuon_alpinus","Martes_flavigula","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.901150126739693,0.112974903926466,0.684189541014404,1.13059468782081,1.00043525284481,"Significant",0.271533333333333,0.0292333333333333,1.07911894175828,1.03661068713908,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"103","SUB-Martes_flavigula~DOM-Neofelis_genus","Neofelis_genus","Martes_flavigula","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.904876937847823,0.080524194860212,0.751901268411898,1.06629057916551,1.10650183710475,"Significant",0.140733333333333,0.0263,1.08408084630507,1.05464466986428,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"104","SUB-Martes_flavigula~DOM-Panthera_pardus","Panthera_pardus","Martes_flavigula","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-0.0154219856468015,0.0736747704389169,-0.170096354253325,0.122283740216934,1.00000797342728,"Non-Significant",0.1902,0.0251,1.08123833925961,1.09289896471807,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"105","SUB-Martes_flavigula~DOM-Panthera_tigris","Panthera_tigris","Martes_flavigula","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.248453289687075,0.0740577264060292,0.114806419150931,0.404158261601018,1.0004682085818,"Significant",0.364466666666667,0.0260666666666667,1.08058055343496,1.01413683842202,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"106","SUB-Muntiacus_genus~DOM-Cuon_alpinus","Cuon_alpinus","Muntiacus_genus","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.54591982834698,0.0443249723128704,0.459415968541446,0.631936488428858,1.02696734600027,"Significant",0.234266666666667,0.264566666666667,1.0079774172483,1.04037664636055,"LONG","Yes","No","Yes","Yes","Yes","top-down","preferred","Unsupported_1","Unsupported_3"
"107","SUB-Muntiacus_genus~DOM-Neofelis_genus","Neofelis_genus","Muntiacus_genus","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.528302781317811,0.0308195424185971,0.468848838609952,0.589621819585285,1.00207436166171,"Significant",0.0854,0.0582666666666667,1.0202524534053,1.06852208333908,"LONG","No","No","Yes","Yes","Yes","top-down","preferred","Unsupported_3","Unsupported_3"
"108","SUB-Muntiacus_genus~DOM-Panthera_pardus","Panthera_pardus","Muntiacus_genus","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",0.0547594254911263,0.0457249045021563,-0.0321612149527481,0.146789789583333,1.00006561486658,"Non-Significant",0.187266666666667,0.4759,1.00081318302995,1.09171949402401,"LONG","Yes","No","Yes","Yes","Yes","top-down","preferred","Unsupported_2","Unsupported_3"
"109","SUB-Muntiacus_genus~DOM-Panthera_tigris","Panthera_tigris","Muntiacus_genus","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",-0.167512909650473,0.0372329072713845,-0.242771585081721,-0.0973320347108033,1.00031022308566,"Significant",0.378433333333333,0.469466666666667,1.0010883564219,1.0125312654589,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","preferred","Supported","Supported"
"110","SUB-Neofelis_genus~DOM-Arctictis_binturong","Arctictis_binturong","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.209374141060515,0.0980928656184631,0.00788461327806596,0.396981440562439,1.00628308472571,"Significant",0.242033333333333,0.194333333333333,1.04251161614567,1.04585521144434,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Supported","Unsupported_3"
"111","SUB-Neofelis_genus~DOM-Arctonyx_collaris","Arctonyx_collaris","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.520043654037699,0.120935618812857,0.26441499692799,0.742226661667538,1.00425037698777,"Significant",0.222466666666667,0.202666666666667,1.04156316018519,1.05133381862754,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Supported","Unsupported_3"
"112","SUB-Neofelis_genus~DOM-Argusianus_argus","Argusianus_argus","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0282297516451569,0.0239704441323665,-0.0231718524075541,0.0713008014026632,0.999978618399808,"Non-Significant",0.375,0.1943,1.04237709399649,1.0081695655316,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"113","SUB-Neofelis_genus~DOM-Atherurus_macrourus","Atherurus_macrourus","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.215619664201197,0.0559196937967365,0.102277867273341,0.321253701486323,0.999989797062538,"Significant",0.209233333333333,0.199766666666667,1.04203574521266,1.02470716419394,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Supported","Unsupported_3"
"114","SUB-Neofelis_genus~DOM-Bos_gaurus","Bos_gaurus","Neofelis_genus","completed","Large_Carnivore","Large_Herbivore","SUB-Large_Carnivore~DOM-Large_Herbivore",-0.033027232670009,0.0729531176619191,-0.182023059368073,0.105178234850184,0.999977834365245,"Non-Significant",0.252333333333333,0.201733333333333,1.04152578998514,1.02185010798707,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"115","SUB-Neofelis_genus~DOM-Capricornis_genus","Capricornis_genus","Neofelis_genus","completed","Large_Carnivore","Large_Herbivore","SUB-Large_Carnivore~DOM-Large_Herbivore",0.186185541118678,0.077072241758606,0.0321213375800109,0.334301265048112,1.00032963257296,"Significant",0.174433333333333,0.193133333333333,1.04258780800451,1.04708145750507,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Supported","Unsupported_3"
"116","SUB-Neofelis_genus~DOM-Cuon_alpinus","Cuon_alpinus","Neofelis_genus","completed","Large_Carnivore","Large_Carnivore","SUB-Large_Carnivore~DOM-Large_Carnivore",0.136508734621627,0.171084960599832,-0.246463763244743,0.440416153537593,1.00499593058433,"Non-Significant",0.3184,0.2002,1.04191778530506,1.02849148919925,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"117","SUB-Neofelis_genus~DOM-Helarctos_malayanus","Helarctos_malayanus","Neofelis_genus","completed","Large_Carnivore","Large_Omnivore","SUB-Large_Carnivore~DOM-Large_Omnivore",-0.188154639370477,0.417307006148447,-0.811660140845949,0.144223914747276,29.1759726602785,"Non-Significant",0.106333333333333,0.108433333333333,1.15705563318465,1.03099012293034,"LONG","No","No","Yes","No","No","bottom-up","community","Unsupported_3","Unsupported_3"
"118","SUB-Neofelis_genus~DOM-Herpestes_brachyurus","Herpestes_brachyurus","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.441730043761827,0.118790202990593,0.214089606413055,0.68126674599444,1.00005034230551,"Significant",0.307166666666667,0.202566666666667,1.041413425918,1.03007120199087,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Supported","Unsupported_3"
"119","SUB-Neofelis_genus~DOM-Hystrix_brachyura","Hystrix_brachyura","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0603529211899735,0.0160025466003573,0.0289424666097313,0.0918409060178508,1.00127979776994,"Significant",0.00196666666666667,0.194233333333333,1.0424055551389,1.05018084898099,"LONG","No","No","Yes","Yes","Yes","bottom-up","preferred","Unsupported_3","Unsupported_3"
"120","SUB-Neofelis_genus~DOM-Hystrix_crassispinis","Hystrix_crassispinis","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",-0.00368314057836163,0.0464706562689578,-0.101688664252072,0.0804066111324861,1.0000909319761,"Non-Significant",0.347733333333333,0.199566666666667,1.0423320532773,1.01373445471695,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"121","SUB-Neofelis_genus~DOM-Lophura_bulweri","Lophura_bulweri","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.163022823946722,0.0575127529590966,0.0531900776180419,0.279019465083224,1.00075807039526,"Significant",0.3259,0.198466666666667,1.04171824004257,1.06718535709828,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Supported","Unsupported_3"
"122","SUB-Neofelis_genus~DOM-Lophura_diardi","Lophura_diardi","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0122491584950172,0.0232636994026107,-0.0366600149373595,0.0542284401190974,0.999965218451676,"Non-Significant",0.253766666666667,0.2009,1.04193467026389,1.01970123822282,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"123","SUB-Neofelis_genus~DOM-Lophura_ignita","Lophura_ignita","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",-0.0666207850790338,0.0444704833726344,-0.170097585432317,0.00729237785426367,1.00697305076475,"Non-Significant",0.296666666666667,0.199133333333333,1.04179581914382,1.02975598558633,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"124","SUB-Neofelis_genus~DOM-Lophura_nycthemera","Lophura_nycthemera","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.131008745138508,0.0691785525535814,-0.0185686991771029,0.254231782239343,1.0000177686218,"Non-Significant",0.269866666666667,0.199133333333333,1.04201876352642,1.04079681923084,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"125","SUB-Neofelis_genus~DOM-Macaca_arctoides","Macaca_arctoides","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.167200640821073,0.128337115442852,-0.0787511873604417,0.42413523140416,1.00010479661964,"Non-Significant",0.530933333333333,0.197766666666667,1.04202485473648,0.997592194978056,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Unsupported_2","Unsupported_3"
"126","SUB-Neofelis_genus~DOM-Macaca_fascicularis","Macaca_fascicularis","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",-0.0114120389713656,0.118722326920548,-0.26906356223264,0.197341513273068,0.999986448578764,"Non-Significant",0.392033333333333,0.194766666666667,1.04262862684114,1.00798662380437,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"127","SUB-Neofelis_genus~DOM-Macaca_nemestrina","Macaca_nemestrina","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.014765016266713,0.0307635396534625,-0.0460477537913562,0.0751571044559565,1.00008104715384,"Non-Significant",0.402933333333333,0.197133333333333,1.04239338693362,1.00302821435265,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Unsupported_2","Unsupported_3"
"128","SUB-Neofelis_genus~DOM-Martes_flavigula","Martes_flavigula","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.176232755869858,0.0480381998096968,0.0835591510218234,0.272749178627268,1.00005591672829,"Significant",0.0252,0.198366666666667,1.0419054425919,1.08021011917028,"LONG","No","No","Yes","Yes","Yes","bottom-up","community","Unsupported_3","Unsupported_3"
"129","SUB-Neofelis_genus~DOM-Muntiacus_genus","Muntiacus_genus","Neofelis_genus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.101251004958952,0.0248116066236082,0.0527448601449055,0.150224764137517,1.00013752918323,"Significant",0.465966666666667,0.2012,1.04143925309482,1.00104989367256,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Supported","Unsupported_3"
"130","SUB-Neofelis_genus~DOM-Paguma_larvata","Paguma_larvata","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.291519910050813,0.0919968695376926,0.128167062038162,0.487462103131335,1.00054100499242,"Significant",0.394466666666667,0.1949,1.04272696125563,1.01345744806957,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Supported","Unsupported_3"
"131","SUB-Neofelis_genus~DOM-Panthera_pardus","Panthera_pardus","Neofelis_genus","completed","Large_Carnivore","Large_Carnivore","SUB-Large_Carnivore~DOM-Large_Carnivore",-0.0650156022949665,0.0859630470777218,-0.247888974069923,0.0897455980692836,1.00003471707146,"Non-Significant",0.183966666666667,0.1936,1.04280764825353,1.09352268747274,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"132","SUB-Neofelis_genus~DOM-Panthera_tigris","Panthera_tigris","Neofelis_genus","completed","Large_Carnivore","Large_Carnivore","SUB-Large_Carnivore~DOM-Large_Carnivore",-0.17550005995873,0.0727165991766764,-0.330047227076219,-0.0476265146336965,1.00227602368403,"Significant",0.363,0.195066666666667,1.04289293827056,1.01420553073754,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Supported","Unsupported_3"
"133","SUB-Neofelis_genus~DOM-Paradoxurus_hermaphroditus","Paradoxurus_hermaphroditus","Neofelis_genus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.0605686964764767,0.071929816179414,-0.0879667164896729,0.1929394742111,1.00018167657231,"Non-Significant",0.3794,0.199366666666667,1.04208292291869,1.00950803892266,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"134","SUB-Neofelis_genus~DOM-Rusa_unicolor","Rusa_unicolor","Neofelis_genus","completed","Large_Carnivore","Large_Herbivore","SUB-Large_Carnivore~DOM-Large_Herbivore",-0.0945675166048998,0.0411201777400211,-0.178823306893137,-0.0176638049550106,1.00057585854525,"Significant",0.588466666666667,0.1954,1.04336654562678,0.995672746852392,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Unsupported_1","Unsupported_3"
