"","Species_Pair","dom_species","sub_species","mod_completion","SUB_guild","DOM_guild","guild_pair","Interaction_Estimate","SD","lower","upper","Rhat","Significance","BPV.dom","BPV.sub","Chat.dom","Chat.sub","MCMC_setting","BPV_valid","BPV_valid_conserv","OD_valid","OD_valid_conserv","parameter_valid","direction","preference","support","support_conserv"
"39","SUB-Cuon_alpinus~DOM-Macaca_fascicularis","Macaca_fascicularis","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",-1.5591175798246,1.1723834241561,-4.42641407077508,0.106915418212222,1.00010907914298,"Non-Significant",0.3922,0.317033333333333,1.02903227496528,1.00799443301627,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"40","SUB-Cuon_alpinus~DOM-Macaca_nemestrina","Macaca_nemestrina","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.0747211360276985,0.0454017611613253,-0.0153076504788034,0.16234738601076,1.00109307388592,"Non-Significant",0.400066666666667,0.3107,1.02920836639235,1.0031989596598,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"41","SUB-Cuon_alpinus~DOM-Martes_flavigula","Martes_flavigula","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.195864742556872,0.0673483081501768,0.0597028904528425,0.324556136965033,1.00005292090066,"Significant",0.0252333333333333,0.316033333333333,1.02858889076242,1.08081718727319,"LONG","No","No","Yes","Yes","Yes","bottom-up","community","Unsupported_3","Unsupported_3"
"42","SUB-Cuon_alpinus~DOM-Muntiacus_genus","Muntiacus_genus","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0746709655891823,0.0383413888261664,-0.00147078197859995,0.14855461427827,1.00005032693999,"Non-Significant",0.472433333333333,0.312466666666667,1.02885315985862,1.0009542219602,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","preferred","Unsupported_2","Unsupported_2"
"43","SUB-Cuon_alpinus~DOM-Neofelis_genus","Neofelis_genus","Cuon_alpinus","completed","Large_Carnivore","Large_Carnivore","SUB-Large_Carnivore~DOM-Large_Carnivore",0.207733300697321,0.0987593162000687,0.00884998678961939,0.398814707300601,1.00020216471251,"Significant",0.1963,0.320533333333333,1.02788992024063,1.04228155708607,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_3"
"44","SUB-Cuon_alpinus~DOM-Paguma_larvata","Paguma_larvata","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",-0.0114459908657006,0.477651042732489,-1.07702417788665,0.796138891563141,1.0002745462197,"Non-Significant",0.398133333333333,0.317366666666667,1.02901576951026,1.01305211779929,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"45","SUB-Cuon_alpinus~DOM-Panthera_pardus","Panthera_pardus","Cuon_alpinus","completed","Large_Carnivore","Large_Carnivore","SUB-Large_Carnivore~DOM-Large_Carnivore",0.0350590007827364,0.0668833430863944,-0.100098694999413,0.167175636834734,0.999986881644689,"Non-Significant",0.1859,0.3153,1.0286239747048,1.09343372285786,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"46","SUB-Cuon_alpinus~DOM-Panthera_tigris","Panthera_tigris","Cuon_alpinus","completed","Large_Carnivore","Large_Carnivore","SUB-Large_Carnivore~DOM-Large_Carnivore",0.103466630581731,0.0494359786554352,0.00724571497613764,0.20164965751999,1.00008616392236,"Significant",0.3698,0.311433333333333,1.0288503019265,1.0131819532426,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_1"
"47","SUB-Cuon_alpinus~DOM-Paradoxurus_hermaphroditus","Paradoxurus_hermaphroditus","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.104478147195501,0.0503811899603133,0.00271588848435778,0.199189149515842,1.00006525260096,"Significant",0.382966666666667,0.315333333333333,1.02845662301453,1.00906156342806,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Supported","Supported"
"48","SUB-Cuon_alpinus~DOM-Rusa_unicolor","Rusa_unicolor","Cuon_alpinus","completed","Large_Carnivore","Large_Herbivore","SUB-Large_Carnivore~DOM-Large_Herbivore",0.119228415336999,0.0313662360637118,0.0573445905607037,0.180111879397357,0.999980011535713,"Significant",0.586266666666667,0.319233333333333,1.02813349604605,0.995770326759787,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","preferred","Supported","Supported"
