"Species","Guild","Body_mass"
"Argya rubiginosa","Carnivore",0.0406
"Argya rufescens","Carnivore",0.0645
"Argya squamiceps","Carnivore",0.0729
"Argya striata","Omnivore",0.066
"Argya subrufa","Carnivore",0.0667
"Leioptila annectens","Carnivore",0.0245
"Melanocichla calva","Carnivore",0.0786
"Melanocichla lugubris","Carnivore",0.0786
"Pterorhinus albogularis","Omnivore",0.0976
"Pterorhinus berthemyi","Omnivore",0.072
"Pterorhinus caerulatus","Herbivore",0.0857
"Pterorhinus chinensis","Carnivore",0.0885
"Pterorhinus courtoisi","Carnivore",0.056
"Pterorhinus davidi","Omnivore",0.0562
"Pterorhinus delesserti","Carnivore",0.078
"Pterorhinus galbanus","Carnivore",0.056
"Pterorhinus gularis","Carnivore",0.092
"Pterorhinus koslowi","Omnivore",0.1125
"Pterorhinus lanceolatus","Omnivore",0.0805
"Pterorhinus mitratus","Carnivore",0.062
"Pterorhinus nuchalis","Carnivore",0.078
"Pterorhinus pectoralis","Carnivore",0.1451
"Pterorhinus perspicillatus","Carnivore",0.1178
"Pterorhinus poecilorhynchus","Omnivore",0.072
"Pterorhinus ruficeps","Omnivore",0.0976
"Pterorhinus ruficollis","Omnivore",0.0662
"Pterorhinus sannio","Carnivore",0.0678
"Pterorhinus treacheri","Carnivore",0.062
"Pterorhinus vassali","Carnivore",0.0885
"Pterorhinus waddelli","Herbivore",0.046
"Pterorhinus woodi","Omnivore",0.0805
"Turdoides rufocinctus","Carnivore",0.047
"Bradypterus baboecala","Carnivore",0.0129
"Bradypterus bangwaensis","Carnivore",0.021
"Bradypterus barratti","Carnivore",0.0188
"Bradypterus brunneus","Carnivore",0.0142
"Bradypterus carpalis","Carnivore",0.0224
"Bradypterus centralis","Carnivore",0.0129
"Bradypterus cinnamomeus","Carnivore",0.0174
"Bradypterus grandis","Carnivore",0.0185
"Bradypterus graueri","Carnivore",0.017
"Bradypterus lopezi","Carnivore",0.0192
"Bradypterus seebohmi","Carnivore",0.0123
"Bradypterus sylvaticus","Carnivore",0.021
"Catriscus brevirostris","Carnivore",0.0157
"Cincloramphus bivittatus","Carnivore",0.03
"Cincloramphus cruralis","Carnivore",0.0492
"Cincloramphus grosvenori","Carnivore",0.054
"Cincloramphus llaneae","Carnivore",0.0255
"Cincloramphus macrurus","Carnivore",0.0216
"Cincloramphus mariei","Carnivore",0.025
"Cincloramphus mathewsi","Carnivore",0.0293
"Cincloramphus rubiginosus","Carnivore",0.0412
"Cincloramphus rufus","Carnivore",0.026
"Cincloramphus timoriensis","Carnivore",0.0216
"Cincloramphus whitneyi","Carnivore",0.036
"Elaphrornis palliseri","Carnivore",0.009
"Helopsaltes amnicola","Carnivore",0.0271
"Helopsaltes certhiola","Carnivore",0.0144
"Helopsaltes fasciolatus","Carnivore",0.0271
"Helopsaltes ochotensis","Carnivore",0.0185
"Helopsaltes pleskei","Carnivore",0.02
"Helopsaltes pryeri","Carnivore",0.0142
"Locustella accentor","Carnivore",0.019
"Locustella alfredi","Carnivore",0.0175
"Locustella alishanensis","Carnivore",0.01
"Locustella castanea","Carnivore",0.019
"Locustella caudata","Carnivore",0.0229
"Locustella chengi","Carnivore",0.01
"Locustella davidi","Carnivore",0.01
"Locustella disturbans","Carnivore",0.019
"Locustella fluviatilis","Carnivore",0.0161
"Locustella idonea","Carnivore",0.0113
"Locustella kashmirensis","Carnivore",0.0108
"Locustella lanceolata","Carnivore",0.0106
"Locustella luscinioides","Carnivore",0.0139
"Locustella luteoventris","Carnivore",0.0132
"Locustella major","Carnivore",0.0133
"Locustella mandelli","Carnivore",0.0113
"Locustella montis","Carnivore",0.014
"Locustella musculus","Carnivore",0.019
"Locustella naevia","Carnivore",0.0133
"Locustella portenta","Carnivore",0.019
"Locustella seebohmi","Carnivore",0.0113
"Locustella tacsanowskia","Carnivore",0.014
"Locustella thoracica","Carnivore",0.0108
"Malia grata","Carnivore",0.0945
"Megalurus palustris","Carnivore",0.0441
"Poodytes albolimbatus","Carnivore",0.014
"Poodytes carteri","Carnivore",0.0122
"Poodytes gramineus","Carnivore",0.0141
"Poodytes punctatus","Carnivore",0.0252
"Robsonius rabori","Carnivore",0.061
"Robsonius sorsogonensis","Carnivore",0.061
"Robsonius thompsoni","Carnivore",0.061
"Schoenicola platyurus","Carnivore",0.02
"Schoenicola striatus","Carnivore",0.0315
"Machaerirhynchus flaviventer","Carnivore",0.0103
"Machaerirhynchus nigripectus","Carnivore",0.012
"Achaetops pycnopygius","Carnivore",0.0283
"Cryptillas victorini","Carnivore",0.01
"Graueria vittata","Carnivore",0.0155
"Hylia prasina","Carnivore",0.0131
"Macrosphenus concolor","Carnivore",0.0139
"Macrosphenus flavicans","Carnivore",0.0134
"Macrosphenus kempi","Carnivore",0.0126
"Macrosphenus kretschmeri","Carnivore",0.02
"Macrosphenus pulitzeri","Carnivore",0.0117
"Melocichla mentalis","Carnivore",0.0332
"Pholidornis rushiae","Carnivore",0.006
"Sphenoeacus afer","Carnivore",0.0304
"Sylvietta brachyura","Carnivore",0.0081
"Sylvietta denti","Carnivore",0.0084
"Sylvietta isabellina","Carnivore",0.01
"Sylvietta leucophrys","Carnivore",0.0113
"Sylvietta philippae","Carnivore",0.0086
"Sylvietta rufescens","Carnivore",0.0116
"Sylvietta ruficapilla","Carnivore",0.0111
"Sylvietta virens","Carnivore",0.0084
"Sylvietta whytii","Carnivore",0.0099
"Dryoscopus angolensis","Carnivore",0.036
"Dryoscopus cubla","Carnivore",0.0262
"Dryoscopus gambensis","Carnivore",0.0319
"Dryoscopus pringlii","Carnivore",0.0197
"Dryoscopus sabini","Carnivore",0.0371
"Dryoscopus senegalensis","Carnivore",0.0293
"Laniarius aethiopicus","Carnivore",0.0494
"Laniarius amboimensis","Carnivore",0.0459
"Laniarius atrococcineus","Omnivore",0.0488
"Laniarius atroflavus","Carnivore",0.043
"Laniarius barbarus","Carnivore",0.0471
"Laniarius bicolor","Carnivore",0.0543
"Laniarius brauni","Carnivore",0.0543
"Laniarius erythrogaster","Carnivore",0.0488
"Laniarius ferrugineus","Carnivore",0.0468
"Laniarius fuelleborni","Carnivore",0.0464
"Laniarius funebris","Carnivore",0.0404
"Laniarius holomelas","Carnivore",0.0449
"Laniarius leucorhynchus","Carnivore",0.0501
"Laniarius luehderi","Carnivore",0.0429
"Laniarius major","Carnivore",0.0494
"Laniarius mufumbiri","Carnivore",0.0415
"Laniarius nigerrimus","Carnivore",0.0494
"Laniarius poensis","Carnivore",0.0449
"Laniarius ruficeps","Carnivore",0.0327
"Laniarius sublacteus","Carnivore",0.0487
"Laniarius turatii","Carnivore",0.0459
"Laniarius willardi","Carnivore",0.0436
"Malaconotus alius","Carnivore",0.0767
"Malaconotus blanchoti","Carnivore",0.0787
"Malaconotus cruentus","Carnivore",0.0767
"Malaconotus gladiator","Carnivore",0.099
"Malaconotus lagdeni","Carnivore",0.0923
"Malaconotus monteiri","Carnivore",0.0819
"Nilaus afer","Carnivore",0.0191
"Rhodophoneus cruentus","Carnivore",0.0533
"Tchagra australis","Carnivore",0.0323
"Tchagra jamesi","Carnivore",0.0274
"Tchagra minutus","Carnivore",0.0344
"Tchagra senegalus","Carnivore",0.0535
"Tchagra tchagra","Carnivore",0.0503
"Telophorus bocagei","Carnivore",0.027
"Telophorus dohertyi","Carnivore",0.035
"Telophorus kupeensis","Carnivore",0.0348
"Telophorus multicolor","Carnivore",0.0509
"Telophorus nigrifrons","Carnivore",0.0348
"Telophorus olivaceus","Carnivore",0.0336
"Telophorus sulfureopectus","Carnivore",0.0271
"Telophorus viridis","Carnivore",0.0371
"Telophorus zeylonus","Carnivore",0.065
"Amytornis ballarae","Omnivore",0.021
"Amytornis barbatus","Omnivore",0.0184
"Amytornis dorotheae","Omnivore",0.0232
"Amytornis goyderi","Omnivore",0.0167
"Amytornis housei","Omnivore",0.0289
"Amytornis merrotsyi","Omnivore",0.0196
"Amytornis modestus","Omnivore",0.023
"Amytornis purnelli","Omnivore",0.021
"Amytornis rowleyi","Omnivore",0.0196
"Amytornis striatus","Omnivore",0.0196
"Amytornis textilis","Omnivore",0.023
"Amytornis whitei","Omnivore",0.0196
"Amytornis woodwardi","Herbivore",0.0351
"Chenorhamphus campbelli","Carnivore",0.0125
"Chenorhamphus grayi","Carnivore",0.0125
"Clytomyias insignis","Carnivore",0.0124
"Malurus alboscapulatus","Carnivore",0.0093
"Malurus amabilis","Carnivore",0.0086
"Malurus assimilis","Carnivore",0.008
"Malurus coronatus","Carnivore",0.0111
"Malurus cyaneus","Carnivore",0.0103
"Malurus cyanocephalus","Carnivore",0.0124
"Malurus elegans","Carnivore",0.0096
"Malurus lamberti","Carnivore",0.008
"Malurus leucopterus","Carnivore",0.0074
"Malurus melanocephalus","Carnivore",0.0079
"Malurus pulcherrimus","Carnivore",0.0092
"Malurus splendens","Carnivore",0.0094
"Sipodotus wallacii","Carnivore",0.0077
"Stipiturus malachurus","Carnivore",0.0073
"Stipiturus mallee","Carnivore",0.0055
"Stipiturus ruficeps","Carnivore",0.005
"Melampitta gigantea","Carnivore",0.205
"Melampitta lugubris","Carnivore",0.0427
"Melanocharis arfakiana","Omnivore",0.0115
"Melanocharis citreola","Omnivore",0.0176
"Melanocharis crassirostris","Omnivore",0.018
"Melanocharis longicauda","Omnivore",0.012
"Melanocharis nigra","Omnivore",0.0142
"Melanocharis striativentris","Omnivore",0.0176
"Melanocharis versteri","Omnivore",0.0147
"Oedistoma iliolophus","Omnivore",0.011
"Oedistoma pygmaeum","Omnivore",0.0058
"Toxorhamphus novaeguineae","Omnivore",0.0118
"Toxorhamphus poliopterus","Omnivore",0.0114
"Melanopareia elegans","Carnivore",0.016
"Melanopareia maranonica","Carnivore",0.023
"Melanopareia maximiliani","Carnivore",0.018
"Melanopareia torquata","Carnivore",0.0172
"Acanthagenys rufogularis","Omnivore",0.0478
"Acanthorhynchus superciliosus","Herbivore",0.0097
"Acanthorhynchus tenuirostris","Omnivore",0.0104
"Anthochaera carunculata","Herbivore",0.1061
"Anthochaera chrysoptera","Herbivore",0.0678
"Anthochaera lunulata","Herbivore",0.0618
"Anthochaera paradoxa","Herbivore",0.1437
"Anthochaera phrygia","Herbivore",0.04
"Anthornis melanura","Herbivore",0.0269
"Ashbyia lovensis","Carnivore",0.0175
"Bolemoreus frenatus","Omnivore",0.0341
"Bolemoreus hindwoodi","Herbivore",0.0229
"Caligavis chrysops","Herbivore",0.0173
"Caligavis obscura","Herbivore",0.0264
"Caligavis subfrenata","Omnivore",0.0297
"Certhionyx variegatus","Herbivore",0.0263
"Cissomela pectoralis","Herbivore",0.0101
"Conopophila albogularis","Omnivore",0.0118
"Conopophila rufogularis","Omnivore",0.0108
"Conopophila whitei","Carnivore",0.0098
"Entomyzon cyanotis","Omnivore",0.1053
"Epthianura albifrons","Carnivore",0.0133
"Epthianura aurifrons","Carnivore",0.0105
"Epthianura crocea","Carnivore",0.0093
"Epthianura tricolor","Carnivore",0.0107
"Foulehaio carunculatus","Herbivore",0.037
"Foulehaio procerior","Herbivore",0.037
"Foulehaio taviunensis","Herbivore",0.037
"Gavicalis fasciogularis","Omnivore",0.0268
"Gavicalis versicolor","Omnivore",0.0367
"Gavicalis virescens","Omnivore",0.0233
"Gliciphila melanops","Omnivore",0.0182
"Gliciphila notabilis","Omnivore",0.0271
"Gliciphila undulata","Omnivore",0.016
"Glycichaera fallax","Carnivore",0.0112
"Grantiella picta","Herbivore",0.0215
"Guadalcanaria inexpectata","Omnivore",0.0433
"Gymnomyza aubryana","Omnivore",0.1951
"Gymnomyza brunneirostris","Omnivore",0.0878
"Gymnomyza samoensis","Herbivore",0.099
"Gymnomyza viridis","Omnivore",0.0878
"Lichenostomus cratitius","Omnivore",0.0203
"Lichenostomus melanops","Omnivore",0.0323
"Lichmera alboauricularis","Omnivore",0.0133
"Lichmera argentauris","Herbivore",0.014
"Lichmera deningeri","Herbivore",0.0166
"Lichmera flavicans","Herbivore",0.0142
"Lichmera incana","Herbivore",0.0131
"Lichmera indistincta","Herbivore",0.0112
"Lichmera limbata","Herbivore",0.0135
"Lichmera lombokia","Herbivore",0.0153
"Lichmera monticola","Herbivore",0.006
"Lichmera notabilis","Herbivore",0.0115
"Lichmera squamata","Omnivore",0.0145
"Macgregoria pulchra","Herbivore",0.2251
"Manorina flavigula","Carnivore",0.0559
"Manorina melanocephala","Omnivore",0.0602
"Manorina melanophrys","Carnivore",0.0304
"Manorina melanotis","Carnivore",0.054
"Meliarchus sclateri","Omnivore",0.0668
"Melidectes belfordi","Omnivore",0.0731
"Melidectes foersteri","Omnivore",0.085
"Melidectes fuscus","Omnivore",0.045
"Melidectes leucostephes","Omnivore",0.0753
"Melidectes nouhuysi","Herbivore",0.0623
"Melidectes ochromelas","Omnivore",0.063
"Melidectes princeps","Omnivore",0.042
"Melidectes rufocrissalis","Omnivore",0.0716
"Melidectes torquatus","Omnivore",0.0449
"Melilestes megarhynchus","Omnivore",0.0438
"Meliphacator provocator","Herbivore",0.0331
"Meliphaga aruensis","Herbivore",0.0262
"Meliphaga lewinii","Herbivore",0.0336
"Meliphaga notata","Herbivore",0.0264
"Melipotes ater","Herbivore",0.114
"Melipotes carolae","Herbivore",0.0589
"Melipotes fumigatus","Herbivore",0.0586
"Melipotes gymnops","Herbivore",0.0548
"Melithreptus affinis","Carnivore",0.015
"Melithreptus albogularis","Carnivore",0.011
"Melithreptus brevirostris","Omnivore",0.0126
"Melithreptus chloropsis","Carnivore",0.014
"Melithreptus gularis","Omnivore",0.0194
"Melithreptus lunatus","Carnivore",0.014
"Melithreptus validirostris","Carnivore",0.0248
"Melitograis gilolensis","Omnivore",0.054
"Microptilotis albonotatus","Omnivore",0.0224
"Microptilotis analogus","Herbivore",0.0216
"Microptilotis cinereifrons","Herbivore",0.015
"Microptilotis flavirictus","Omnivore",0.0185
"Microptilotis gracilis","Herbivore",0.015
"Microptilotis imitatrix","Herbivore",0.015
"Microptilotis mimikae","Herbivore",0.0269
"Microptilotis montanus","Omnivore",0.028
"Microptilotis orientalis","Herbivore",0.0181
"Microptilotis vicina","Herbivore",0.0236
"Myza celebensis","Herbivore",0.02
"Myza sarasinorum","Herbivore",0.0225
"Myzomela adolphinae","Omnivore",0.0074
"Myzomela albigula","Omnivore",0.0146
"Myzomela blasii","Herbivore",0.0149
"Myzomela boiei","Omnivore",0.0108
"Myzomela caledonica","Herbivore",0.007
"Myzomela cardinalis","Herbivore",0.0138
"Myzomela chermesina","Omnivore",0.0108
"Myzomela chloroptera","Herbivore",0.0108
"Myzomela cineracea","Omnivore",0.0138
"Myzomela cruentata","Omnivore",0.0082
"Myzomela dammermani","Omnivore",0.0078
"Myzomela eichhorni","Herbivore",0.0108
"Myzomela eques","Herbivore",0.0139
"Myzomela erythrocephala","Herbivore",0.0078
"Myzomela erythromelas","Herbivore",0.008
"Myzomela irianawidodoae","Omnivore",0.0322
"Myzomela jugularis","Herbivore",0.0087
"Myzomela kuehni","Omnivore",0.0108
"Myzomela lafargei","Omnivore",0.0128
"Myzomela malaitae","Herbivore",0.0138
"Myzomela melanocephala","Herbivore",0.012
"Myzomela nigrita","Omnivore",0.0093
"Myzomela nigriventris","Herbivore",0.0135
"Myzomela obscura","Herbivore",0.0119
"Myzomela pammelaena","Omnivore",0.0158
"Myzomela prawiradilagae","Omnivore",0.0093
"Myzomela pulchella","Omnivore",0.01
"Myzomela rosenbergii","Herbivore",0.0103
"Myzomela rubratra","Omnivore",0.014
"Myzomela sanguinolenta","Herbivore",0.0083
"Myzomela sclateri","Herbivore",0.0105
"Myzomela tristrami","Herbivore",0.0133
"Myzomela vulnerata","Herbivore",0.0069
"Myzomela wahe","Omnivore",0.008
"Myzomela wakoloensis","Herbivore",0.0079
"Nesoptilotis flavicollis","Omnivore",0.0287
"Nesoptilotis leucotis","Omnivore",0.0239
"Oreornis chrysogenys","Omnivore",0.0695
"Philemon albitorques","Herbivore",0.0857
"Philemon argenticeps","Omnivore",0.0804
"Philemon brassi","Herbivore",0.0857
"Philemon buceroides","Herbivore",0.1086
"Philemon citreogularis","Herbivore",0.0606
"Philemon cockerelli","Omnivore",0.1541
"Philemon corniculatus","Omnivore",0.1007
"Philemon diemenensis","Omnivore",0.0659
"Philemon eichhorni","Herbivore",0.101
"Philemon fuscicapillus","Herbivore",0.0857
"Philemon inornatus","Herbivore",0.0857
"Philemon kisserensis","Herbivore",0.0628
"Philemon meyeri","Herbivore",0.052
"Philemon moluccensis","Herbivore",0.0857
"Philemon plumigenis","Herbivore",0.0857
"Philemon subcorniculatus","Herbivore",0.194
"Phylidonyris niger","Herbivore",0.0182
"Phylidonyris novaehollandiae","Herbivore",0.0202
"Phylidonyris pyrrhopterus","Herbivore",0.0163
"Plectorhyncha lanceolata","Herbivore",0.0406
"Prosthemadera novaeseelandiae","Herbivore",0.1058
"Ptiloprora erythropleura","Omnivore",0.0211
"Ptiloprora guisei","Carnivore",0.0258
"Ptiloprora mayri","Omnivore",0.0305
"Ptiloprora meekiana","Carnivore",0.0185
"Ptiloprora perstriata","Omnivore",0.0266
"Ptiloprora plumbea","Omnivore",0.0141
"Ptilotula flavescens","Herbivore",0.0124
"Ptilotula fusca","Omnivore",0.0177
"Ptilotula keartlandi","Omnivore",0.0152
"Ptilotula ornata","Omnivore",0.0176
"Ptilotula penicillata","Omnivore",0.0194
"Ptilotula plumula","Herbivore",0.0165
"Purnella albifrons","Herbivore",0.0174
"Pycnopygius cinereus","Herbivore",0.0448
"Pycnopygius ixoides","Herbivore",0.0276
"Pycnopygius stictocephalus","Herbivore",0.0385
"Ramsayornis fasciatus","Omnivore",0.0127
"Ramsayornis modestus","Omnivore",0.0121
"Stomiopera flava","Herbivore",0.0214
"Stomiopera unicolor","Herbivore",0.0307
"Stresemannia bougainvillei","Omnivore",0.0247
"Sugomel nigrum","Omnivore",0.0099
"Territornis albilineata","Omnivore",0.0237
"Territornis fordiana","Omnivore",0.0237
"Territornis reticulata","Omnivore",0.0236
"Timeliopsis fulvigula","Carnivore",0.0183
"Timeliopsis griseigula","Omnivore",0.032
"Trichodere cockerelli","Herbivore",0.0147
"Vosea whitemanensis","Omnivore",0.048
"Xanthotis flaviventer","Carnivore",0.04
"Xanthotis macleayanus","Carnivore",0.031
"Xanthotis polygrammus","Carnivore",0.02
"Menura alberti","Carnivore",0.928
"Menura novaehollandiae","Carnivore",0.9726
"Allenia fusca","Omnivore",0.0671
"Cinclocerthia gutturalis","Carnivore",0.0692
"Cinclocerthia ruficauda","Carnivore",0.055
"Dumetella carolinensis","Omnivore",0.0353
"Margarops fuscatus","Omnivore",0.0984
"Melanoptila glabrirostris","Omnivore",0.0354
"Melanotis caerulescens","Omnivore",0.0616
"Melanotis hypoleucus","Carnivore",0.068
"Mimus dorsalis","Omnivore",0.0587
"Mimus gilvus","Carnivore",0.052
"Mimus graysoni","Omnivore",0.0655
"Mimus gundlachii","Omnivore",0.0668
"Mimus longicaudatus","Omnivore",0.0666
"Mimus macdonaldi","Omnivore",0.0702
"Mimus melanotis","Carnivore",0.0505
"Mimus parvulus","Omnivore",0.0536
"Mimus patagonicus","Carnivore",0.0578
"Mimus polyglottos","Omnivore",0.0485
"Mimus saturninus","Omnivore",0.0637
"Mimus thenca","Omnivore",0.066
"Mimus trifasciatus","Omnivore",0.0627
"Mimus triurus","Carnivore",0.0472
"Oreoscoptes montanus","Carnivore",0.0442
"Ramphocinclus brachyurus","Carnivore",0.05
"Toxostoma bendirei","Omnivore",0.0622
"Toxostoma cinereum","Carnivore",0.059
"Toxostoma crissale","Carnivore",0.0627
"Toxostoma curvirostre","Omnivore",0.0805
"Toxostoma guttatum","Carnivore",0.0528
"Toxostoma lecontei","Carnivore",0.0619
"Toxostoma longirostre","Carnivore",0.0676
"Toxostoma ocellatum","Carnivore",0.0843
"Toxostoma redivivum","Omnivore",0.0844
"Toxostoma rufum","Omnivore",0.0688
"Lamprospiza melanoleuca","Herbivore",0.034
"Mitrospingus cassinii","Omnivore",0.0404
"Mitrospingus oleagineus","Carnivore",0.0413
"Orthogonys chloricterus","Omnivore",0.039
"Arcanator orostruthus","Carnivore",0.0327
"Kakamega poliothorax","Carnivore",0.0364
"Modulatrix stictigula","Omnivore",0.0305
"Mohoua albicilla","Carnivore",0.0176
"Mohoua novaeseelandiae","Carnivore",0.0121
"Mohoua ochrocephala","Omnivore",0.0277
"Arses insularis","Carnivore",0.0193
"Arses kaupi","Carnivore",0.0135
"Arses lorealis","Carnivore",0.0137
"Arses telescopthalmus","Carnivore",0.0153
"Carterornis castus","Carnivore",0.014
"Carterornis chrysomela","Carnivore",0.0156
"Carterornis leucotis","Carnivore",0.0114
"Carterornis pileatus","Carnivore",0.014
"Chasiempis ibidis","Carnivore",0.0131
"Chasiempis sandwichensis","Carnivore",0.0137
"Chasiempis sclateri","Carnivore",0.0129
"Clytorhynchus hamlini","Carnivore",0.0346
"Clytorhynchus nigrogularis","Carnivore",0.0557
"Clytorhynchus pachycephaloides","Carnivore",0.0263
"Clytorhynchus sanctaecrucis","Carnivore",0.0557
"Clytorhynchus vitiensis","Carnivore",0.0292
"Grallina bruijnii","Carnivore",0.0384
"Grallina cyanoleuca","Carnivore",0.0826
"Hypothymis azurea","Carnivore",0.0111
"Hypothymis coelestis","Carnivore",0.0136
"Hypothymis helenae","Carnivore",0.0099
"Hypothymis puella","Carnivore",0.0111
"Mayrornis lessoni","Carnivore",0.0112
"Mayrornis schistaceus","Carnivore",0.0112
"Mayrornis versicolor","Carnivore",0.029
"Metabolus rugensis","Carnivore",0.0236
"Monarcha castaneiventris","Carnivore",0.0273
"Monarcha cinerascens","Carnivore",0.0296
"Monarcha erythrostictus","Carnivore",0.0273
"Monarcha frater","Carnivore",0.022
"Monarcha godeffroyi","Carnivore",0.0164
"Monarcha melanopsis","Carnivore",0.0227
"Monarcha richardsii","Carnivore",0.0273
"Monarcha takatsukasae","Carnivore",0.0164
"Myiagra albiventris","Carnivore",0.0123
"Myiagra alecto","Carnivore",0.0236
"Myiagra atra","Carnivore",0.0123
"Myiagra azureocapilla","Carnivore",0.0129
"Myiagra caledonica","Carnivore",0.0108
"Myiagra castaneigularis","Carnivore",0.0129
"Myiagra cervinicauda","Carnivore",0.0115
"Myiagra cyanoleuca","Carnivore",0.0175
"Myiagra erythrops","Carnivore",0.0121
"Myiagra ferrocyanea","Carnivore",0.0128
"Myiagra galeata","Carnivore",0.011
"Myiagra hebetior","Carnivore",0.0202
"Myiagra inquieta","Carnivore",0.0209
"Myiagra nana","Carnivore",0.0135
"Myiagra oceanica","Carnivore",0.0121
"Myiagra pluto","Carnivore",0.0121
"Myiagra rubecula","Carnivore",0.0121
"Myiagra ruficollis","Carnivore",0.0101
"Myiagra vanikorensis","Carnivore",0.0123
"Neolalage banksiana","Carnivore",0.0168
"Pomarea dimidiata","Carnivore",0.023
"Pomarea iphis","Carnivore",0.0239
"Pomarea mendozae","Carnivore",0.0296
"Pomarea mira","Carnivore",0.0296
"Pomarea nigra","Carnivore",0.0254
"Pomarea whitneyi","Carnivore",0.0425
"Symposiachrus axillaris","Carnivore",0.0156
"Symposiachrus barbatus","Carnivore",0.021
"Symposiachrus boanensis","Carnivore",0.0175
"Symposiachrus brehmii","Carnivore",0.041
"Symposiachrus browni","Carnivore",0.0164
"Symposiachrus everetti","Carnivore",0.0164
"Symposiachrus guttula","Carnivore",0.0164
"Symposiachrus infelix","Carnivore",0.0164
"Symposiachrus julianae","Carnivore",0.0164
"Symposiachrus leucurus","Carnivore",0.0164
"Symposiachrus loricatus","Carnivore",0.0273
"Symposiachrus manadensis","Carnivore",0.0225
"Symposiachrus menckei","Carnivore",0.0164
"Symposiachrus mundus","Carnivore",0.0273
"Symposiachrus rubiensis","Carnivore",0.0273
"Symposiachrus sacerdotum","Carnivore",0.037
"Symposiachrus trivirgatus","Carnivore",0.0127
"Symposiachrus verticalis","Carnivore",0.0217
"Symposiachrus vidua","Carnivore",0.0171
"Terpsiphone affinis","Carnivore",0.0192
"Terpsiphone atrocaudata","Carnivore",0.0187
"Terpsiphone atrochalybeia","Carnivore",0.0122
"Terpsiphone batesi","Carnivore",0.0154
"Terpsiphone bedfordi","Carnivore",0.0154
"Terpsiphone bourbonnensis","Carnivore",0.0108
"Terpsiphone cinnamomea","Carnivore",0.0204
"Terpsiphone corvina","Carnivore",0.018
"Terpsiphone cyanescens","Carnivore",0.0246
"Terpsiphone incei","Carnivore",0.0192
"Terpsiphone mutata","Carnivore",0.0132
"Terpsiphone paradisi","Carnivore",0.0192
"Terpsiphone rufiventer","Carnivore",0.0151
"Terpsiphone rufocinerea","Carnivore",0.0154
"Terpsiphone viridis","Carnivore",0.0132
"Trochocercus cyanomelas","Carnivore",0.0102
"Trochocercus nitens","Carnivore",0.0118
"Anthus antarcticus","Carnivore",0.0361
"Anthus berthelotii","Carnivore",0.0159
"Anthus bogotensis","Omnivore",0.0251
"Anthus brachyurus","Carnivore",0.0153
"Anthus caffer","Carnivore",0.0168
"Anthus campestris","Carnivore",0.023
"Anthus cervinus","Carnivore",0.0209
"Anthus chacoensis","Carnivore",0.0126
"Anthus cinnamomeus","Carnivore",0.0322
"Anthus correndera","Carnivore",0.0209
"Anthus crenatus","Carnivore",0.0307
"Anthus furcatus","Carnivore",0.0201
"Anthus godlewskii","Carnivore",0.0253
"Anthus gustavi","Carnivore",0.0198
"Anthus gutturalis","Omnivore",0.0363
"Anthus hellmayri","Carnivore",0.0186
"Anthus hodgsoni","Carnivore",0.0213
"Anthus hoeschi","Carnivore",0.027
"Anthus leucophrys","Carnivore",0.025
"Anthus lineiventris","Carnivore",0.035
"Anthus lutescens","Carnivore",0.0126
"Anthus melindae","Carnivore",0.0225
"Anthus nattereri","Carnivore",0.0195
"Anthus nicholsoni","Carnivore",0.0253
"Anthus nilghiriensis","Carnivore",0.031
"Anthus novaeseelandiae","Carnivore",0.0241
"Anthus nyassae","Carnivore",0.0243
"Anthus pallidiventris","Carnivore",0.031
"Anthus peruvianus","Carnivore",0.0126
"Anthus petrosus","Carnivore",0.0224
"Anthus pratensis","Carnivore",0.0184
"Anthus richardi","Carnivore",0.0322
"Anthus roseatus","Carnivore",0.0206
"Anthus rubescens","Carnivore",0.0207
"Anthus rufulus","Carnivore",0.0204
"Anthus similis","Carnivore",0.0253
"Anthus sokokensis","Carnivore",0.015
"Anthus spinoletta","Carnivore",0.0239
"Anthus spragueii","Carnivore",0.0255
"Anthus sylvanus","Carnivore",0.031
"Anthus trivialis","Omnivore",0.0233
"Anthus vaalensis","Carnivore",0.027
"Dendronanthus indicus","Carnivore",0.0164
"Hemimacronyx chloris","Carnivore",0.0251
"Hemimacronyx sharpei","Carnivore",0.0299
"Macronyx ameliae","Carnivore",0.0335
"Macronyx aurantiigula","Carnivore",0.0394
"Macronyx capensis","Omnivore",0.05
"Macronyx croceus","Carnivore",0.0471
"Macronyx flavicollis","Carnivore",0.0451
"Macronyx fuelleborni","Carnivore",0.0552
"Macronyx grimwoodi","Carnivore",0.0451
"Madanga ruficollis","Carnivore",0.015
"Motacilla aguimp","Carnivore",0.027
"Motacilla alba","Carnivore",0.0239
"Motacilla bocagii","Carnivore",0.007
"Motacilla capensis","Carnivore",0.0208
"Motacilla cinerea","Carnivore",0.0172
"Motacilla citreola","Carnivore",0.0191
"Motacilla clara","Carnivore",0.0179
"Motacilla flava","Carnivore",0.0177
"Motacilla flaviventris","Carnivore",0.0225
"Motacilla grandis","Carnivore",0.0302
"Motacilla maderaspatensis","Carnivore",0.0305
"Motacilla samveasnae","Carnivore",0.0227
"Motacilla tschutschensis","Carnivore",0.0185
"Tmetothylacus tenellus","Carnivore",0.0201
"Agricola infuscatus","Carnivore",0.0324
"Agricola pallidus","Carnivore",0.0236
