"Species","Guild","Body_mass"
"Anser serrirostris","Herbivore",2.668
"Asarcornis scutulata","Omnivore",2.9374
"Aythya affinis","Omnivore",0.8195
"Aythya americana","Herbivore",1.0757
"Aythya australis","Carnivore",0.8694
"Aythya baeri","Omnivore",0.6812
"Aythya collaris","Omnivore",0.7046
"Aythya ferina","Herbivore",0.823
"Aythya fuligula","Omnivore",0.7012
"Aythya innotata","Omnivore",0.685
"Aythya marila","Omnivore",1.0054
"Aythya novaeseelandiae","Omnivore",0.682
"Aythya nyroca","Herbivore",0.574
"Aythya valisineria","Herbivore",1.202
"Biziura lobata","Carnivore",1.9285
"Branta bernicla","Herbivore",1.2779
"Branta canadensis","Herbivore",2.8117
"Branta hutchinsii","Herbivore",2.8117
"Branta leucopsis","Herbivore",1.684
"Branta ruficollis","Herbivore",1.2265
"Branta sandvicensis","Herbivore",2.0441
"Bucephala albeola","Carnivore",0.3975
"Bucephala clangula","Carnivore",0.9186
"Bucephala islandica","Carnivore",0.9212
"Cairina moschata","Omnivore",2.4158
"Callonetta leucophrys","Herbivore",0.3628
"Cereopsis novaehollandiae","Herbivore",3.56
"Chenonetta jubata","Herbivore",0.8075
"Chloephaga hybrida","Herbivore",2.2818
"Chloephaga picta","Herbivore",2.8804
"Chloephaga poliocephala","Herbivore",2.0071
"Chloephaga rubidiceps","Herbivore",2.086
"Clangula hyemalis","Carnivore",0.871
"Coscoroba coscoroba","Omnivore",4.2948
"Cyanochen cyanoptera","Herbivore",1.52
"Cygnus atratus","Herbivore",5.6232
"Cygnus buccinator","Herbivore",11.0711
"Cygnus columbianus","Herbivore",6.378
"Cygnus cygnus","Herbivore",9.35
"Cygnus melancoryphus","Herbivore",4.7117
"Cygnus olor","Herbivore",10.682
"Dendrocygna arborea","Herbivore",1.15
"Dendrocygna arcuata","Herbivore",0.7962
"Dendrocygna autumnalis","Herbivore",0.7553
"Dendrocygna bicolor","Herbivore",0.7564
"Dendrocygna eytoni","Herbivore",0.79
"Dendrocygna guttata","Omnivore",0.8
"Dendrocygna javanica","Herbivore",0.5196
"Dendrocygna viduata","Herbivore",0.69
"Heteronetta atricapilla","Herbivore",0.5384
"Histrionicus histrionicus","Carnivore",0.5616
"Hymenolaimus malacorhynchos","Carnivore",0.83
"Lophodytes cucullatus","Carnivore",0.6138
"Lophonetta specularioides","Carnivore",1.0199
"Malacorhynchus membranaceus","Omnivore",0.3728
"Mareca americana","Herbivore",0.7546
"Mareca falcata","Herbivore",0.6458
"Mareca penelope","Herbivore",0.77
"Mareca sibilatrix","Herbivore",0.9232
"Mareca strepera","Herbivore",0.9156
"Marmaronetta angustirostris","Herbivore",0.477
"Melanitta americana","Carnivore",1.117
"Melanitta deglandi","Carnivore",1.8002
"Melanitta fusca","Carnivore",1.8002
"Melanitta nigra","Carnivore",1.05
"Melanitta perspicillata","Carnivore",1.0963
"Melanitta stejnegeri","Carnivore",1.8002
"Merganetta armata","Carnivore",0.3988
"Mergellus albellus","Carnivore",0.6086
"Mergus merganser","Carnivore",1.451
"Mergus octosetaceus","Carnivore",0.983
"Mergus serrator","Carnivore",1.0152
"Mergus squamatus","Carnivore",1.234
"Netta erythrophthalma","Herbivore",0.7804
"Netta peposaca","Herbivore",1
"Netta rufina","Herbivore",1.118
"Nettapus auritus","Omnivore",0.266
"Nettapus coromandelianus","Herbivore",0.3913
"Nettapus pulchellus","Herbivore",0.307
"Nomonyx dominicus","Herbivore",0.365
"Oressochen jubatus","Herbivore",1.25
"Oressochen melanopterus","Herbivore",2.037
"Oxyura australis","Omnivore",0.798
"Oxyura ferruginea","Omnivore",0.6082
"Oxyura jamaicensis","Omnivore",0.6082
"Oxyura leucocephala","Omnivore",0.6611
"Oxyura maccoa","Omnivore",0.674
"Oxyura vittata","Omnivore",0.6427
"Plectropterus gambensis","Herbivore",3.869
"Polysticta stelleri","Carnivore",0.8068
"Pteronetta hartlaubii","Carnivore",0.79
"Radjah radjah","Carnivore",0.8852
"Salvadorina waigiuensis","Carnivore",0.324
"Sarkidiornis melanotos","Herbivore",2.61
"Sarkidiornis sylvicola","Herbivore",2.61
"Sibirionetta formosa","Herbivore",0.434
"Somateria fischeri","Carnivore",1.5572
"Somateria mollissima","Carnivore",2.0609
"Somateria spectabilis","Carnivore",1.6167
"Spatula clypeata","Omnivore",0.6126
"Spatula cyanoptera","Herbivore",0.3775
"Spatula discors","Omnivore",0.3594
"Spatula hottentota","Herbivore",0.2764
"Spatula platalea","Herbivore",0.4654
"Spatula puna","Herbivore",0.5952
"Spatula querquedula","Omnivore",0.3256
"Spatula rhynchotis","Carnivore",0.639
"Spatula smithii","Carnivore",0.5915
"Spatula versicolor","Herbivore",0.5952
"Speculanas specularis","Herbivore",1.4961
"Stictonetta naevosa","Herbivore",0.9033
"Tachyeres brachypterus","Carnivore",3.45
"Tachyeres leucocephalus","Carnivore",3.013
"Tachyeres patachonicus","Carnivore",2.8216
"Tachyeres pteneres","Carnivore",4.7376
"Tadorna cana","Herbivore",1.182
"Tadorna ferruginea","Omnivore",1.235
"Tadorna tadorna","Carnivore",1.1468
"Tadorna tadornoides","Omnivore",1.4187
"Tadorna variegata","Herbivore",1.541
"Thalassornis leuconotus","Herbivore",0.7075
"Anhima cornuta","Herbivore",3.15
"Chauna chavaria","Herbivore",2.5576
"Chauna torquata","Herbivore",4.4
"Anseranas semipalmata","Herbivore",2.3934
"Apteryx australis","Carnivore",2.3205
"Apteryx haastii","Carnivore",2.0227
"Apteryx mantelli","Carnivore",2.3205
"Apteryx owenii","Carnivore",1.2383
"Apteryx rowi","Carnivore",1.924
"Aceros nipalensis","Herbivore",2.385
"Anorrhinus austeni","Omnivore",0.933
"Anorrhinus galeritus","Omnivore",1.172
"Anorrhinus tickelli","Omnivore",0.7926
"Anthracoceros albirostris","Omnivore",0.8929
"Anthracoceros coronatus","Herbivore",0.8067
"Anthracoceros malayanus","Herbivore",1.05
"Anthracoceros marchei","Herbivore",0.75
"Anthracoceros montani","Herbivore",0.741
"Berenicornis comatus","Carnivore",1.47
"Buceros bicornis","Omnivore",2.7908
"Buceros hydrocorax","Herbivore",1.4096
"Buceros rhinoceros","Herbivore",2.3716
"Buceros vigil","Omnivore",2.8876
"Bycanistes albotibialis","Herbivore",0.921
"Bycanistes brevis","Herbivore",1.2328
"Bycanistes bucinator","Herbivore",0.6394
"Bycanistes cylindricus","Herbivore",0.921
"Bycanistes fistulator","Herbivore",0.5081
"Bycanistes subcylindricus","Herbivore",1.1954
"Ceratogymna atrata","Herbivore",1.1948
"Ceratogymna elata","Herbivore",1.917
"Horizocerus albocristatus","Carnivore",0.2894
"Horizocerus hartlaubi","Carnivore",0.0985
"Lophoceros alboterminatus","Omnivore",0.2237
"Lophoceros bradfieldi","Carnivore",0.1965
"Lophoceros camurus","Carnivore",0.1038
"Lophoceros fasciatus","Omnivore",0.2588
"Lophoceros hemprichii","Carnivore",0.297
"Lophoceros nasutus","Carnivore",0.1796
"Lophoceros pallidirostris","Carnivore",0.233
"Ocyceros birostris","Herbivore",0.375
"Ocyceros gingalensis","Herbivore",0.238
"Ocyceros griseus","Herbivore",0.292
"Penelopides affinis","Omnivore",0.4851
"Penelopides manillae","Herbivore",0.4609
"Penelopides mindorensis","Herbivore",0.462
"Penelopides panini","Herbivore",0.4705
"Penelopides samarensis","Omnivore",0.51
"Rhabdotorrhinus corrugatus","Herbivore",1.59
"Rhabdotorrhinus exarhatus","Herbivore",0.37
"Rhabdotorrhinus leucocephalus","Herbivore",1.086
"Rhabdotorrhinus waldeni","Herbivore",1.086
"Rhyticeros cassidix","Herbivore",2.36
"Rhyticeros everetti","Herbivore",0.6972
"Rhyticeros narcondami","Herbivore",0.6972
"Rhyticeros plicatus","Herbivore",1.7038
"Rhyticeros subruficollis","Herbivore",2.042
"Rhyticeros undulatus","Herbivore",2.2146
"Tockus damarensis","Carnivore",0.21
"Tockus deckeni","Carnivore",0.1677
"Tockus erythrorhynchus","Carnivore",0.1386
"Tockus flavirostris","Carnivore",0.2167
"Tockus jacksoni","Carnivore",0.1677
"Tockus kempi","Carnivore",0.182
"Tockus leucomelas","Carnivore",0.1883
"Tockus monteiri","Carnivore",0.2898
"Tockus ruahae","Carnivore",0.2
"Tockus rufirostris","Carnivore",0.15
"Bucorvus abyssinicus","Carnivore",4
"Bucorvus leadbeateri","Carnivore",3.7436
"Phoeniculus bollei","Carnivore",0.0546
"Phoeniculus castaneiceps","Carnivore",0.0244
"Phoeniculus damarensis","Carnivore",0.0818
"Phoeniculus purpureus","Carnivore",0.0732
"Phoeniculus somaliensis","Carnivore",0.0265
"Rhinopomastus aterrimus","Carnivore",0.0271
"Rhinopomastus cyanomelas","Carnivore",0.0271
"Rhinopomastus minor","Carnivore",0.0217
"Upupa epops","Carnivore",0.0669
"Upupa marginata","Carnivore",0.0669
"Aegotheles affinis","Carnivore",0.06
"Aegotheles albertisi","Carnivore",0.0352
"Aegotheles archboldi","Carnivore",0.0306
"Aegotheles bennettii","Carnivore",0.06
"Aegotheles crinifrons","Carnivore",0.136
"Aegotheles cristatus","Carnivore",0.0428
"Aegotheles insignis","Carnivore",0.0785
"Aegotheles savesi","Carnivore",0.052
"Aegotheles tatei","Carnivore",0.052
"Aegotheles wallacii","Carnivore",0.0507
"Aerodramus amelis","Carnivore",0.0107
"Aerodramus bartschi","Carnivore",0.0074
"Aerodramus brevirostris","Carnivore",0.0134
"Aerodramus ceramensis","Carnivore",0.0134
"Aerodramus elaphrus","Carnivore",0.0107
"Aerodramus francicus","Carnivore",0.0089
"Aerodramus fuciphagus","Carnivore",0.0107
"Aerodramus germani","Carnivore",0.0107
"Aerodramus hirundinaceus","Carnivore",0.0101
"Aerodramus infuscatus","Carnivore",0.0134
"Aerodramus inquietus","Carnivore",0.011
"Aerodramus leucophaeus","Carnivore",0.0134
"Aerodramus maximus","Carnivore",0.017
"Aerodramus mearnsi","Carnivore",0.0113
"Aerodramus nuditarsus","Carnivore",0.0134
"Aerodramus ocistus","Carnivore",0.0134
"Aerodramus orientalis","Carnivore",0.0134
"Aerodramus papuensis","Carnivore",0.0199
"Aerodramus pelewensis","Carnivore",0.0134
"Aerodramus salangana","Carnivore",0.0113
"Aerodramus sawtelli","Carnivore",0.0086
"Aerodramus sororum","Carnivore",0.0215
"Aerodramus spodiopygius","Carnivore",0.008
"Aerodramus terraereginae","Carnivore",0.012
"Aerodramus unicolor","Carnivore",0.011
"Aerodramus vanikorensis","Carnivore",0.0107
"Aerodramus vulcanorum","Carnivore",0.0134
"Aerodramus whiteheadi","Carnivore",0.014
"Aeronautes andecolus","Carnivore",0.0176
"Aeronautes montivagus","Carnivore",0.0201
"Aeronautes saxatalis","Carnivore",0.0321
"Apus acuticauda","Carnivore",0.0394
"Apus aequatorialis","Carnivore",0.0928
"Apus affinis","Carnivore",0.0226
"Apus alexandri","Carnivore",0.0394
"Apus apus","Carnivore",0.0376
"Apus balstoni","Carnivore",0.0428
"Apus barbatus","Carnivore",0.0428
"Apus batesi","Carnivore",0.0221
"Apus berliozi","Carnivore",0.0382
"Apus bradfieldi","Carnivore",0.0424
"Apus caffer","Carnivore",0.0221
"Apus cooki","Carnivore",0.0394
"Apus horus","Carnivore",0.0275
"Apus leuconyx","Carnivore",0.0394
"Apus melba","Carnivore",0.1004
"Apus niansae","Carnivore",0.0325
"Apus nipalensis","Carnivore",0.0298
"Apus pacificus","Carnivore",0.0394
"Apus pallidus","Carnivore",0.0419
"Apus salimalii","Carnivore",0.0394
"Apus unicolor","Carnivore",0.0225
"Chaetura andrei","Carnivore",0.0171
"Chaetura brachyura","Carnivore",0.0183
"Chaetura chapmani","Carnivore",0.0238
"Chaetura cinereiventris","Carnivore",0.0139
"Chaetura egregia","Carnivore",0.0234
"Chaetura fumosa","Carnivore",0.0157
"Chaetura martinica","Carnivore",0.0125
"Chaetura meridionalis","Carnivore",0.0222
