"landscape","total trap nights","number of sampling units","number of 5km polygons","number of single-season surveys","sampling duration","start date","end date","number of data providers","Xmin","Xmax","Ymin","Ymax","mean forest integrity","mean human footprint","mean elevation","total area sampled km2","number of deployments","were tigers detected","were leopards detected","were dholes detected","were clouded leopards detected"
"Sumatra_Kerinci_Seblat_NP",8658,90,46,3,237,2014-02-10,2014-10-05,1,101.26019,101.588653333333,-1.69529,-1.38184,5.465,8.044,599.665,230,163,"yes","no","yes","yes"
"Thailand_Huai_Kha_Khaeng_WS",3716,43,35,2,188,2010-10-14,2011-04-20,1,99.14983,99.35203,15.20906,15.6977233333333,9.72,4.558,375.377,175,121,"yes","yes","yes","no"
"Thailand_Khao_Banthat_WS",1408,16,16,1,88,2018-02-01,2018-04-30,1,99.77282904,99.839724708,7.4776833057,7.57814065566667,7.907,10.405,509.043,80,76,"no","no","no","no"
"Thailand_Khao_Laem_NP",11435,143,76,4,506,2020-10-23,2022-03-13,1,98.3227691138228,98.7358212988641,14.8398741589861,15.1459980104066,9.602,3.467,624.35,380,260,"yes","yes","yes","yes"
"Thailand_Khlong_Saeng_WS",5659,77,40,4,465,2016-02-20,2017-05-30,1,98.4600572891486,98.7846934217108,8.94409176921037,9.23180334405332,9.543,4.182,337.691,200,77,"no","no","no","yes"
"Thailand_Thai_E_FC_Center",67509,723,168,37,3233,2008-03-28,2017-02-02,2,101.851481531955,102.37873114726,13.9745714181311,14.4729996068898,8.224,5.105,485.468,840,2345,"yes","no","yes","yes"
"Thailand_Thai_E_FC_East",24849,268,120,23,2640,2009-10-28,2017-01-19,3,102.414781231624,103.087160736074,14.05003,14.3200038740295,9.169,6.204,332.452,600,642,"yes","no","yes","yes"
"Thailand_Thai_E_FC_West",18892,217,110,14,3562,2009-12-24,2019-09-25,3,101.174348126371,101.888567541169,14.1764904064438,14.5463633139188,8.575,5.737,621.694,550,454,"no","no","yes","yes"
"Vietnam_Kon_Plong",13355,170,118,3,279,2019-04-09,2020-01-13,1,108.147901,108.5373167,14.5597802375,14.99748421,7.56,5.061,1176.58,590,319,"no","no","no","no"
"Xishuangbanna_Bulong_Reserve",3768,40,15,3,283,2014-03-04,2014-12-12,1,100.2416389,100.5232213,21.50171389,21.61358,7.862,7.037,1374.268,75,83,"no","no","no","no"
"Xishuangbanna_Mengao_Subreserve",396,4,4,1,99,2015-07-03,2015-10-10,1,100.29348195,100.3530764,22.06400278,22.09437037,8.832,7.208,1354.944,20,11,"no","no","no","no"
"Xishuangbanna_Mengla_Subreserve",1323,21,12,2,115,2015-06-25,2015-10-18,1,101.4078361,101.53275,21.645541665,21.7834398166667,9.573,5.28,1323.923,60,54,"no","no","yes","no"
"Xishuangbanna_Menglun_Subreserve",243,3,3,1,81,2015-07-17,2015-10-06,1,101.289842857143,101.2981,21.904,21.911,7.643,7.81,792.964,15,10,"no","no","no","no"
"Xishuangbanna_Nabanhe_National_Reserve",1007,13,9,2,129,2014-04-08,2014-08-15,1,100.62806,100.69889,22.20361111,22.262595,9.781,7.571,1061.976,45,28,"no","no","no","no"
